16 12
-1	18	18	18	4	1	14	1	5	1	6	1	55	18	18	-1
-1	18	18	18	2	18	18	18	2	18	18	18	2	18	18	-1
-1	1	47	1	24	18	18	18	56	1	7	1	16	18	18	-1
-1	18	18	18	17	18	18	18	2	18	18	18	18	18	18	-1
-1	18	18	18	55	1	10	1	43	18	18	36	38	37	18	-1
-1	18	48	48	2	48	18	18	18	36	38	40	34	35	18	-1
-1	48	48	42	22	42	16	1	55	41	1	1	50	35	18	-1
-1	48	42	42	2	42	42	48	2	35	48	48	48	35	18	-1
-1	48	42	42	8	1	14	1	9	39	38	38	38	40	18	-1
-1	48	48	48	48	48	48	48	48	48	48	48	48	48	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
